order_id,customer_id,product_id,order_quantity,order_date,requested_delivery_date,actual_delivery_date,order_status
aab0099f-840e-41ca-b087-14a3233bdcfd,cb6a98d6-84ee-4c28-a291-354f972818e6,7d70d577-8610-4549-ad5c-02c8cdfdc280,55,2023-04-18,2023-04-20,,Delivered
e3358f7d-da11-4786-b456-ecda772a3e59,dd613b5f-b512-467f-a61f-5a8e69b919d8,7afd95a3-34ed-4872-b99e-b5a4617e00a3,46,2024-02-02,2024-02-17,,Pending
c72d42ff-8e8b-4e1a-aeb7-a77255a89968,41a670b7-1c53-4f71-828f-b6241d57169a,58014bed-1c6d-42de-b492-802b6c5f483c,56,2023-10-09,2023-10-31,,Pending
eed70163-1dcd-458d-865c-00bed700127f,7d3a0fc4-0ad3-4a19-8a1c-098abe19e175,f07a5673-2500-4065-af88-7021e837499b,39,2023-03-31,2023-04-16,,Pending
0e4fedc1-326f-46e4-89c6-2164ca3a8a74,1ada425b-9a0a-49bd-a014-4684c41e8a74,857f9614-ea94-4ea8-bb24-1894e99f2bdd,74,2024-01-04,2024-01-09,,Shipped
62ae623b-7429-425c-8648-8c0e7e15580c,0246e96a-900c-43bc-a35c-777c47e17677,6ca1fb4b-9f1b-48b6-a00d-42233e21dbf1,65,2023-08-03,2023-08-16,,Shipped
4a6a7665-42cd-4606-9182-357ddc2f6424,0a79a03b-8d08-43b3-8570-cc43aaae46de,81ea7a72-a0c9-49ff-a398-e80c47f54799,76,2023-10-05,2023-10-11,,Pending
0231b774-68a3-44c8-a794-73e90d7c410d,ac89f215-875f-4bd7-a2cc-a882b44aee68,5a8a4698-ad04-4dab-a7d4-7f02ec321b53,52,2023-12-26,2024-01-21,,Delivered
5642621c-ddce-49aa-b969-b298257fc385,f40f440e-46f1-4273-ad6d-72a6cdf3ce65,81ea7a72-a0c9-49ff-a398-e80c47f54799,28,2024-01-18,2024-02-16,,Shipped
eea79e34-b679-4465-84e2-64aaf57685e2,f40f440e-46f1-4273-ad6d-72a6cdf3ce65,821c8316-3702-40b7-8132-a609153648cf,7,2023-08-14,2023-09-11,,Pending
9b435db3-ed5e-4476-b044-1114432f61a1,b3df7ed2-6776-4652-826b-b46c00e5fa1c,55bd47b7-3267-4d46-9c2c-8c5105e103e9,37,2023-03-25,2023-04-14,,Shipped
57213c5b-d74b-4b78-8075-ac89a7cfd1be,9184d4cd-1715-4efd-a4af-184b43263598,b79c0b0a-5a36-4ea9-a252-dd606ae9aa63,42,2023-07-14,2023-08-09,,Pending
5c5908bb-b1e2-420b-82b9-c80cfcdefb78,fee22997-122e-4df1-bd7e-223ae97b6157,0fa65ce4-dc68-48aa-aa6f-31e3e9d8a538,18,2023-12-05,2024-01-02,,Shipped
c751c104-8003-493f-9b47-e66782f7f530,8ea512e9-a1f9-401d-beca-89a42711a2d0,37141c0d-4ad6-4235-86eb-06f2afaaf62b,48,2023-12-28,2024-01-11,,Shipped
205d67e6-f6fd-4a4e-a263-b68748fe16a9,dc8f5dfd-aea7-4499-90b6-dee3024e5fb7,6703bffd-bde5-4c96-b1e9-bcf75b505055,61,2023-12-19,2023-12-22,,Shipped
7024768f-2310-4836-9389-83921409548e,b963a387-50eb-40e1-b744-cd4c5b95361e,b8aaa23a-e673-46b2-a55b-f96756c5e7fa,65,2023-05-28,2023-05-29,,Shipped
c56652f5-50fb-4cdb-a1c0-79c724d7f2bf,4dcc57ec-6fd1-4ebc-a9f7-da33fe5cb780,b8080c8b-68f8-4e8c-bfd6-1650af21d84e,30,2023-03-31,2023-04-16,,Delivered
29aea9b5-e58c-422b-ae60-8980466de429,d2c4387d-39ed-404d-9571-b89205204837,5078e779-e20b-4b0a-a468-52d9dbda8657,52,2023-03-23,2023-04-18,,Shipped
e25f4db9-0f71-45b5-8aab-c55d0e885f7a,3c2c8e61-9022-452a-ac8e-f94d4d3a0cab,1facdeb4-9105-4c50-85a6-e4bc16c1b571,55,2023-08-03,2023-08-07,,Delivered
355d3a90-b472-4ece-86c6-94196e95a64f,8b6e8fb3-e16e-4684-b06d-051f3da8741d,5a8a4698-ad04-4dab-a7d4-7f02ec321b53,8,2023-12-01,2023-12-29,,Delivered
22c189fd-4848-40ba-9eb1-169fa46d7d9b,bbeddde7-8fbb-4347-99f5-df0bb4070ed3,513eb641-8ffd-4761-8948-3d0c1dad1071,7,2023-07-24,2023-07-31,,Pending
63eb8b98-f887-4c7f-ab05-9bd1a38c60b3,ed5d7bc1-28ee-4f95-803d-f8613cd02805,149e64c0-3660-4f02-973a-15db531225fa,89,2023-04-16,2023-04-18,,Delivered
4a31d52f-b278-40cc-b337-6337ed988498,6f865804-c82e-4300-b398-e4234bfbd817,149e64c0-3660-4f02-973a-15db531225fa,94,2023-12-09,2023-12-26,,Delivered
0c750e74-6598-4e60-b3de-469631ed8498,b963a387-50eb-40e1-b744-cd4c5b95361e,1400fafd-04f1-4520-aff6-052c353acc85,10,2023-06-01,2023-06-18,,Shipped
a6c26fdf-4a01-49af-a14e-7b8e273b5f87,4870195e-2ecd-4563-94b8-4aa6a47b22ba,965da2b2-9a10-4c21-9cb5-a605a16610dd,11,2023-06-02,2023-06-26,,Pending
f3f7373b-a83d-47c4-b716-5ab1b34e2493,c52afb95-9a0b-4add-a29a-d44b497dae1a,10b770cd-4c33-49df-bc85-506b1d5c2e9f,57,2023-03-22,2023-04-20,,Shipped
97bbfbb3-cf83-4e64-b26e-b8a05c005a78,9184d4cd-1715-4efd-a4af-184b43263598,ddd772f3-84e3-4079-bbf7-50e58e05b244,98,2023-07-08,2023-07-27,,Delivered
252b2227-5cec-4ce5-a7dd-5dd703d953a5,ed5d7bc1-28ee-4f95-803d-f8613cd02805,7d3e3537-80d8-45ec-8155-d3ebbe72dbdf,28,2023-08-19,2023-09-14,,Delivered
